회사명,종목코드,상장일
NH프라임리츠,338100,2019-12-05
비올,335890,2019-12-03
타스컴,336040,2019-12-02
진코스텍,250030,2019-11-29
웨이버스,336060,2019-11-28
유엑스엔,337840,2019-11-28
HLB바이오스텝,278650,2019-11-27
씨티알모빌리티,308170,2019-11-25
티움바이오,321550,2019-11-22
씨에스베어링,297090,2019-11-21
우양,103840,2019-11-20
코리아에셋투자증권,190650,2019-11-20
HD현대에너지솔루션,322000,2019-11-19
에스제이그룹,306040,2019-11-18
제테마,216080,2019-11-14
한화시스템,272210,2019-11-13
라파스,214260,2019-11-11
아이티엠반도체,084850,2019-11-07
일승,333430,2019-11-06
자이에스앤디,317400,2019-11-06
미디어젠,279600,2019-11-05
LS티라유텍,322180,2019-10-31
모코엠시스,333050,2019-10-31
롯데리츠,330590,2019-10-30
지누스,013890,2019-10-30
밸로프,331520,2019-10-29
캐리소프트,317530,2019-10-29
한국미라클피플사,331660,2019-10-28
케이엔제이,272110,2019-10-25
엔바이오니아,317870,2019-10-24
팜스빌,318010,2019-10-22
두산퓨얼셀,336260,2019-10-18
라온피플,300120,2019-10-18
솔루스첨단소재,336370,2019-10-18
콘텐트리중앙,036420,2019-10-18
아톤,158430,2019-10-17
녹십자웰빙,234690,2019-10-14
누보,332290,2019-10-11
포커스에이아이,331380,2019-10-02
엔지브이아이,093510,2019-09-30
올리패스,244460,2019-09-20
라닉스,317120,2019-09-18
한울반도체,320000,2019-09-18
한독크린텍,256150,2019-09-05
아퓨어스,149300,2019-09-03
네오크레마,311390,2019-08-22
마니커에프앤지,195500,2019-08-20
솔트웨어,328380,2019-08-20
나노실리칸첨단소재,286750,2019-08-19
에스피시스템스,317830,2019-08-14
레이,228670,2019-08-08
그린플러스,186230,2019-08-07
코윈테크,282880,2019-08-05
덕산테코피아,317330,2019-08-02
KBG,318000,2019-08-01
엑스페릭스,317770,2019-08-01
세경하이테크,148150,2019-07-30
캐리,313760,2019-07-25
대모,317850,2019-07-24
에이스토리,241840,2019-07-19
플리토,300080,2019-07-17
헥토파이낸셜,234340,2019-07-12
아이스크림에듀,289010,2019-07-11
펨토바이오메드,327610,2019-07-10
펌텍코리아,251970,2019-07-04
에이에프더블류,312610,2019-07-01
태성,323280,2019-06-24
엠에프엠코리아,323230,2019-06-19
압타바이오,293780,2019-06-12
형지글로벌,308100,2019-06-10
마이크로디지탈,305090,2019-06-05
코퍼스코리아,322780,2019-05-31
프로이천,321260,2019-05-31
포스코퓨처엠,003670,2019-05-29
수젠텍,253840,2019-05-28
컴퍼니케이,307930,2019-05-23
피에스케이,319660,2019-05-10
현대무벡스,319400,2019-05-08
TS트릴리온,317240,2019-04-29
이노벡스,279060,2019-04-12
아모그린텍,125210,2019-03-29
현대오토에버,307950,2019-03-28
지노믹트리,228760,2019-03-27
이지케어텍,099750,2019-03-22
미래에셋벤처투자,100790,2019-03-15
드림텍,192650,2019-03-14
더블유게임즈,192080,2019-03-12
에코프로비엠,247540,2019-03-05
셀리드,299660,2019-02-20
우리금융지주,316140,2019-02-13
천보,278280,2019-02-11
SCL사이언스,246960,2019-02-01
노랑풍선,104620,2019-01-30
웹케시,053580,2019-01-25
엘에이티,311060,2018-12-28
에어부산,298690,2018-12-27
비피도,238200,2018-12-26
유틸렉스,263050,2018-12-24
디케이티,290550,2018-12-21
아이엘,307180,2018-12-21
애니플러스,310200,2018-12-21
테크엔,308700,2018-12-21
디와이씨,310870,2018-12-20
오하임앤컴퍼니,309930,2018-12-20
위지윅스튜디오,299900,2018-12-20
국전약품,307750,2018-12-19
에이비엘바이오,298380,2018-12-19
머큐리,100590,2018-12-14
전진바이오팜,110020,2018-12-14
뉴트리,270870,2018-12-13
비투엔,307870,2018-12-12
이노메트리,302430,2018-12-12
DH오토리드,290120,2018-12-07
에코캡,128540,2018-12-05
원바이오젠,307280,2018-12-05
윙입푸드,900340,2018-11-30
남화산업,111710,2018-11-29
엠아이텍,179290,2018-11-29
티로보틱스,117730,2018-11-29
네오펙트,290660,2018-11-28
에이펙스인텍,207490,2018-11-28
티앤알바이오팹,246710,2018-11-28
나라소프트,288490,2018-11-23
아시아나IDT,267850,2018-11-23
디알젬,263690,2018-11-22
싸이토젠,217330,2018-11-22
아주IB투자,027360,2018-11-21
파멥신,208340,2018-11-21
디케이앤디,263020,2018-11-20
퀀텀온,227100,2018-11-15
노바렉스,194700,2018-11-14
대보마그네틱,290670,2018-11-06
노바텍,285490,2018-11-02
엘앤씨바이오,290650,2018-11-01
네온테크,306620,2018-10-31
로보티즈,108490,2018-10-26
옵티팜,153710,2018-10-26
에스퓨얼셀,288620,2018-10-15
세아제강,306200,2018-10-05
나우IB,293580,2018-10-04
푸드나무,290720,2018-10-04
하나제약,293480,2018-10-02
크리스에프앤씨,110790,2018-10-01
더블유에스아이,299170,2018-09-21
한국비티비,219750,2018-09-21
우진아이엔에스,010400,2018-09-14
엔피,291230,2018-09-13
피엔티엠에스,257370,2018-09-13
엔솔바이오사이언스,140610,2018-09-10
디지캡,197140,2018-09-07
지니틱스,303030,2018-08-30
액트로,290740,2018-08-28
오파스넷,173130,2018-08-24
브이엠,089970,2018-08-23
바이오솔루션,086820,2018-08-20
더콘텐츠온,302920,2018-08-13
대유,290380,2018-08-10
신한알파리츠,293940,2018-08-08
디아이티,110990,2018-08-07
에스에스알,275630,2018-08-06
한일시멘트,300720,2018-08-06
휴네시온,290270,2018-08-02
티웨이항공,091810,2018-08-01
롯데이노베이트,286940,2018-07-27
한국유니온제약,080720,2018-07-26
그리티,204020,2018-07-23
알로이스,297570,2018-07-20
올릭스,226950,2018-07-18
HS효성첨단소재,298050,2018-07-13
테크트랜스,258050,2018-07-13
효성중공업,298040,2018-07-13
효성티앤씨,298020,2018-07-13
효성화학,298000,2018-07-13
아이큐어,175250,2018-07-12
SV인베스트먼트,289080,2018-07-06
엘리비젼,276240,2018-07-05
지앤이헬스케어,299480,2018-06-29
이리츠코크렙,088260,2018-06-27
EDGC,245620,2018-06-26
HDC현대산업개발,294870,2018-06-12
카이노스메드,284620,2018-06-08
파워넷,037030,2018-06-07
현대사료,016790,2018-06-01
세종메디칼,258830,2018-05-29
제노레이,122310,2018-05-28
에스제이켐,217910,2018-04-27
JTC,950170,2018-04-06
네오셈,253590,2018-04-04
케어랩스,263700,2018-03-28
애경산업,018250,2018-03-22
린드먼아시아,277070,2018-03-14
오스테오닉,226400,2018-02-22
엔지켐생명과학,183490,2018-02-21
동구바이오제약,006620,2018-02-13
아시아종묘,154030,2018-02-12
알리코제약,260660,2018-02-12
셀트리온,068270,2018-02-09
카페24,042000,2018-02-08
링크제니시스,219420,2018-02-05
배럴,267790,2018-02-01
SG,255220,2018-01-26
씨앤지하이테크,264660,2018-01-25
쿠쿠홈시스,284740,2018-01-11
SK케미칼,285130,2018-01-05
시스웍,269620,2017-12-26
디바이스,187870,2017-12-20
씨알푸드,236030,2017-12-14
레이크머티리얼즈,281740,2017-12-12
BGF리테일,282330,2017-12-08
DYP,092780,2017-12-08
진에어,272450,2017-12-08
씨티케이,260930,2017-12-07
메카로,241770,2017-12-06
에스트래픽,234300,2017-12-05
케이씨텍,281820,2017-12-05
체리부로,066360,2017-12-04
대원,007680,2017-12-01
삼양패키징,272550,2017-11-29
스튜디오드래곤,253450,2017-11-24
코오롱티슈진,950160,2017-11-06
EMB,278990,2017-10-31
테이팩스,055490,2017-10-31
롯데웰푸드,280360,2017-10-30
탑선,180060,2017-10-27
영화테크,265560,2017-10-26
폴라리스세원,234100,2017-10-20
상신전자,263810,2017-10-16
야스,255440,2017-09-29
인산가,277410,2017-09-29
휴엠앤씨,263920,2017-09-28
신흥에스이씨,243840,2017-09-27
유티아이,179900,2017-09-27
선익시스템,171090,2017-09-20
엠플러스,259630,2017-09-20
앱클론,174900,2017-09-18
펄어비스,263750,2017-09-14
킵스파마,256940,2017-09-06
SK시그넷,260870,2017-08-30
덕우전자,263600,2017-08-28
앱트뉴로사이언스,270520,2017-08-22
케일럼,258610,2017-08-22
알에스오토메이션,140670,2017-08-11
컬러레이,900310,2017-08-10
와이즈버즈,273060,2017-08-07
모트렉스,118990,2017-08-04
데이타솔루션,263800,2017-08-03
지니언스,263860,2017-08-02
디앤씨미디어,263720,2017-08-01
루켄테크놀러지스,162120,2017-07-25
힘스,238490,2017-07-20
제일약품,271980,2017-07-17
브이원텍,251630,2017-07-13
아우딘퓨쳐스,227610,2017-07-12
이녹스첨단소재,272290,2017-07-10
카카오,035720,2017-07-10
오리온,271560,2017-07-07
하림지주,003380,2017-06-30
덴티스,261200,2017-06-26
메디안디노스틱,233250,2017-06-26
나인테크,267320,2017-06-22
에스알바이오텍,270210,2017-06-15
뿌리깊은나무들,266170,2017-06-09
보라티알,250000,2017-06-08
매일유업,267980,2017-06-05
LK삼양,225190,2017-06-02
이랜시스,264850,2017-06-01
필옵틱스,161580,2017-06-01
미원에스씨,268280,2017-05-22
경동도시가스,267290,2017-05-12
넷마블,251270,2017-05-12
HD현대,267250,2017-05-10
HD현대건설기계,267270,2017-05-10
HD현대일렉트릭,267260,2017-05-10
포인트엔지니어링,256630,2017-05-02
하나머티리얼즈,166090,2017-04-28
소프트캠프,258790,2017-04-27
와이엠티,251370,2017-04-27
파워풀엑스,266870,2017-04-24
크라운제과,264900,2017-04-11
AP시스템,265520,2017-04-07
유에스티,263770,2017-04-06
이엘피,063760,2017-04-06
유비쿼스,264450,2017-03-31
서진시스템,178320,2017-03-27
코미코,183300,2017-03-23
아스타,246720,2017-03-20
덴티움,145720,2017-03-15
에스디생명공학,217480,2017-03-02
신신제약,002800,2017-02-28
에프엔에스테크,083500,2017-02-27
모바일어플라이언스,087260,2017-02-24
피씨엘,241820,2017-02-23
호전실업,111110,2017-02-02
서플러스글로벌,140070,2017-01-25
유바이오로직스,206650,2017-01-24
도부,227420,2016-12-28
한국비엔씨,256840,2016-12-28
DSC인베스트먼트,241520,2016-12-19
TS인베스트먼트,246690,2016-12-15
피엠티,147760,2016-12-12
바이오프로테크,199290,2016-12-08
HLB펩,196300,2016-12-07
유니온바이오메트릭스,203450,2016-12-07
신라젠,215600,2016-12-06
자비스,254120,2016-12-02
핸즈코퍼레이션,143210,2016-12-02
티이엠씨씨엔에스,241790,2016-12-01
퓨쳐켐,220100,2016-12-01
뉴파워프라즈마,144960,2016-11-30
엘앤케이바이오,156100,2016-11-30
핸디소프트,220180,2016-11-24
두산밥캣,241560,2016-11-18
삼성바이오로직스,207940,2016-11-10
클리오,237880,2016-11-09
오가닉티코스메틱,900300,2016-11-04
얼라인드,238120,2016-11-03
세화피앤씨,252500,2016-11-02
아이티센코어,243870,2016-10-31
인크로스,216050,2016-10-31
에이치엘사이언스,239610,2016-10-28
코스메카코리아,241710,2016-10-28
JW생명과학,234080,2016-10-27
GRT,900290,2016-10-25
안지오랩,251280,2016-10-25
인텔리안테크,189300,2016-10-18
에이치시티,072990,2016-10-17
잉글우드랩,950140,2016-10-14
앤디포스,238090,2016-10-12
수산아이앤티,050960,2016-10-11
미투온,201490,2016-10-10
화승엔터프라이즈,241590,2016-10-04
예선테크,250930,2016-09-29
LS에코에너지,229640,2016-09-22
스타에스엠리츠,204210,2016-09-22
유니테크노,241690,2016-09-20
모비스,250060,2016-09-08
나무기술,242040,2016-09-07
자이글,234920,2016-09-06
일동제약,249420,2016-08-31
헝셩그룹,900270,2016-08-18
샘표식품,248170,2016-08-09
에코마케팅,230360,2016-08-08
블루탑,191600,2016-08-05
두올,016740,2016-07-29
엔지스테크널러지,208860,2016-07-28
우리손에프앤지,073560,2016-07-27
오건에코텍,212310,2016-07-26
아이윈플러스,123010,2016-07-20
제노텍,066830,2016-07-18
동서,026960,2016-07-15
장원테크,174880,2016-07-15
위니아,071460,2016-07-14
한국자산신탁,123890,2016-07-13
한국토지신탁,034830,2016-07-11
모아라이프플러스,142760,2016-07-07
피앤씨테크,237750,2016-07-04
로스웰,900260,2016-06-30
씨앤에스링크,245450,2016-06-24
해성디에스,195870,2016-06-24
에스티팜,237690,2016-06-23
지씨셀,144510,2016-06-23
알엔투테크놀로지,148250,2016-06-22
이비테크,208850,2016-06-22
이스트에이드,239340,2016-06-09
휴온스,243070,2016-06-03
나눔테크,244880,2016-06-01
KC산업,112190,2016-05-31
모나용평,070960,2016-05-27
해태제과식품,101530,2016-05-11
원익IPS,240810,2016-05-02
로보쓰리에이아이,238500,2016-04-20
레이언스,228850,2016-04-11
동양파일,228340,2016-04-06
삼일씨엔에스,004440,2016-03-30
팬젠,222110,2016-03-11
AP위성,211270,2016-03-04
비유테크놀러지,230980,2016-03-02
큐리언트,115180,2016-02-29
안트로젠,065660,2016-02-15
슈프리마,236200,2016-02-05
제이에스코퍼레이션,194370,2016-02-04
유니트론텍,142210,2016-02-02
크리스탈신소재,900250,2016-01-28
메디젠휴먼케어,236340,2016-01-26
볼빅,206950,2015-12-30
이엠티,232530,2015-12-30
더코디,224060,2015-12-29
에스와이,109610,2015-12-29
질경이,233990,2015-12-29
잇츠한불,226320,2015-12-28
크로넥스,215570,2015-12-28
딥마인드,223310,2015-12-24
와이씨,232140,2015-12-24
육일씨엔에쓰,191410,2015-12-24
휴젤,145020,2015-12-24
한국맥널티,222980,2015-12-23
덱스터,206560,2015-12-22
아진산업,013310,2015-12-22
HLB제약,047920,2015-12-21
강스템바이오텍,217730,2015-12-21
에이원알폼,234070,2015-12-21
메가엠디,133750,2015-12-18
보광산업,225530,2015-12-17
파크시스템스,140860,2015-12-17
에치에프알,230240,2015-12-16
예스티,122640,2015-12-16
코스맥스엔비티,222040,2015-12-16
멕아이씨에스,058110,2015-12-14
원익피앤이,217820,2015-12-07
세진중공업,075580,2015-11-30
하이즈항공,221840,2015-11-25
DXVX,180400,2015-11-20
케이디켐,221980,2015-11-19
네오오토,212560,2015-11-18
엔투텍,227950,2015-11-18
케어젠,214370,2015-11-17
아이진,185490,2015-11-16
나무가,190510,2015-11-12
시지메드텍,056090,2015-11-12
금호에이치티,214330,2015-11-11
제주항공,089590,2015-11-06
본느,226340,2015-11-05
파마리서치바이오,217950,2015-11-05
럭스피아,092590,2015-10-30
노브메타파마,229500,2015-10-28
엔케이맥스,182400,2015-10-23
현대코퍼레이션홀딩스,227840,2015-10-23
KH 건설,226360,2015-10-22
엑시콘,092870,2015-10-22
엄지하우스,224810,2015-10-21
메디쎄이,200580,2015-10-20
케이엠제약,225430,2015-10-08
한송네오텍,226440,2015-10-06
패션플랫폼,225590,2015-10-05
LIG넥스원,079550,2015-10-02
넥슨게임즈,225570,2015-09-25
제너셈,217190,2015-09-25
타이거일렉,219130,2015-09-25
HDC랩스,039570,2015-09-24
동일제강,002690,2015-09-24
휴먼테크놀로지,175140,2015-09-23
씨아이에스,222080,2015-09-02
에이텍모빌리티,224110,2015-08-25
웹스,196700,2015-08-24
AJ네트웍스,095570,2015-08-21
파인텍,131760,2015-08-17
세토피아,222810,2015-08-13
심텍,222800,2015-08-07
흥국에프엔비,189980,2015-08-07
쎄노텍,222420,2015-08-06
칩스앤미디어,094360,2015-08-05
아시아경제,127710,2015-07-31
엔에스컴퍼니,224760,2015-07-31
아이쓰리시스템,214430,2015-07-30
로지시스,067730,2015-07-29
플럼라인생명과학,222670,2015-07-28
켐트로스,220260,2015-07-27
파마리서치,214450,2015-07-24
디와이디,219550,2015-07-22
펩트론,087010,2015-07-22
이노션,214320,2015-07-17
토니모리,214420,2015-07-10
광동헬스바이오,086220,2015-07-09
로지스몬,223220,2015-07-09
미래에셋생명,085620,2015-07-08
RFHIC,218410,2015-06-30
동운아나텍,094170,2015-06-30
일월지엠엘,178780,2015-06-30
헥토이노베이션,214180,2015-06-30
경보제약,214390,2015-06-29
인바이츠바이오코아,216400,2015-06-29
코아스템켐온,166480,2015-06-26
SK디앤디,210980,2015-06-23
씨앗,103660,2015-06-22
베셀,177350,2015-06-19
넵튠,217270,2015-06-18
미래생명자원,218150,2015-06-18
싸이맥스,160980,2015-06-17
러셀,217500,2015-06-16
픽셀플러스,087600,2015-06-12
선샤인푸드,217620,2015-06-10
HLB제넥스,187420,2015-05-29
틸론,217880,2015-05-28
우정바이오,215380,2015-05-18
지에이이노더스,076340,2015-05-18
토박스코리아,215480,2015-05-13
이노인스트루먼트,215790,2015-05-08
우리산업,215360,2015-05-06
메가스터디교육,215200,2015-05-04
썬테크,217320,2015-04-29
솔디펜스,215090,2015-04-28
로보로보,215100,2015-04-22
디알텍,214680,2015-04-20
에이비프로바이오,195990,2015-04-13
골프존,215000,2015-04-03
클래시스,214150,2015-04-03
FSN,214270,2015-03-25
다이나믹디자인,145210,2015-03-19
포시에스,189690,2015-02-11
덕산네오룩스,213420,2015-02-06
한솔제지,213500,2015-01-26
디와이파워,210540,2015-01-15
국일신동,060480,2014-12-29
링크드,193250,2014-12-29
바디텍메드,206640,2014-12-29
스튜디오산타클로스,204630,2014-12-29
썸에이지,208640,2014-12-29
에이팩트,200470,2014-12-26
휴메딕스,200670,2014-12-26
서전기전,189860,2014-12-24
아스트,067390,2014-12-24
오킨스전자,080580,2014-12-24
지란지교시큐리티,208350,2014-12-24
포톤,208710,2014-12-24
NEW,160550,2014-12-23
아이티센글로벌,124500,2014-12-23
미래엔에듀파트너,208890,2014-12-18
삼성물산,028260,2014-12-18
녹십자엠에스,142280,2014-12-17
디티앤씨,187220,2014-12-17
셀바스헬스케어,208370,2014-12-17
정다운,208140,2014-12-17
하이로닉,149980,2014-12-17
랩지노믹스,084650,2014-12-16
에이디테크놀로지,200710,2014-12-16
비씨월드제약,200780,2014-12-15
미스터블루,207760,2014-12-12
알테오젠,196170,2014-12-12
베노티앤알,206400,2014-12-10
대창스틸,140520,2014-12-05
에프엔씨엔터,173940,2014-12-04
휴마시스,205470,2014-12-01
씨에스윈드,112610,2014-11-27
텔콘RF제약,200230,2014-11-24
지엘팜텍,204840,2014-11-20
글로벌텍스프리,204620,2014-11-19
디에이테크놀로지,196490,2014-11-19
삼성에스디에스,018260,2014-11-14
아이케이세미콘,149010,2014-11-14
넥써쓰,205500,2014-11-12
엑셈,205100,2014-11-07
테고사이언스,191420,2014-11-06
슈피겐코리아,192440,2014-11-05
영우디에스피,143540,2014-10-29
유니포인트,121060,2014-10-24
드림시큐리티,203650,2014-10-13
메디아나,041920,2014-10-07
HL만도,204320,2014-10-06
데브시스터즈,194480,2014-10-06
아크솔루션스,203690,2014-09-30
오늘이엔엠,192410,2014-08-14
강동씨앤엘,198440,2014-08-13
판도라티비,202960,2014-08-11
서연이화,200880,2014-08-08
신화콘텍,187270,2014-08-08
쿠쿠홀딩스,192400,2014-08-06
파버나인,177830,2014-08-04
덕신이피씨,090410,2014-08-01
창해에탄올,004650,2014-07-30
윈하이텍,192390,2014-07-25
아진엑스텍,059120,2014-07-24
콜마비앤에이치,200130,2014-07-23
화인베스틸,133820,2014-07-22
엣지파운드리,105550,2014-07-11
큐엠씨,136660,2014-07-01
데이터스트림즈,199150,2014-06-25
코아시아씨엠,196450,2014-06-02
캐스텍코리아,071850,2014-05-27
BGF,027410,2014-05-19
나노,187790,2014-05-08
케이사인,192250,2014-04-28
코스맥스,192820,2014-04-07
오이솔루션,138080,2014-02-27
한국정보인증,053300,2014-02-04
다산솔루에타,154040,2013-12-27
현대이지웰,090850,2013-12-27
위월드,140660,2013-12-26
코셋,189350,2013-12-24
SGA솔루션즈,184230,2013-12-20
대동고려삼,178600,2013-12-20
기가레인,049080,2013-12-19
인트로메딕,150840,2013-12-19
알티캐스트,085810,2013-12-06
종근당,185750,2013-12-06
현대공업,170030,2013-12-04
엔브이에이치코리아,067570,2013-12-03
탑코미디어,134580,2013-11-26
신송홀딩스,006880,2013-11-21
큐브엔터,182360,2013-11-21
라이온켐텍,171120,2013-11-19
램테크놀러지,171010,2013-11-18
협진,138360,2013-11-08
아세아시멘트,183190,2013-11-06
해성옵틱스,076610,2013-11-06
내츄럴엔도텍,168330,2013-10-31
현대로템,064350,2013-10-30
수프로,185190,2013-10-29
두산테스나,131970,2013-10-22
파수,150900,2013-10-18
엘티씨,170920,2013-10-08
지엔씨에너지,119850,2013-10-02
한진칼,180640,2013-09-16
아미코젠,092040,2013-09-12
엔에이치엔,181710,2013-08-29
GH신소재,130500,2013-08-02
파이오링크,170790,2013-08-01
KG에코솔루션,151860,2013-07-24
JB금융지주,175330,2013-07-18
KT나스미디어,089600,2013-07-17
대주이엔티,114920,2013-07-01
머니무브,179720,2013-07-01
큐러블,086460,2013-07-01
태양기계,116100,2013-07-01
엑세스바이오,950130,2013-05-30
DSR,155660,2013-05-15
리가켐바이오,141080,2013-05-10
동아에스티,170900,2013-04-08
윈팩,097800,2013-03-07
코렌텍,104540,2013-03-05
제로투세븐,159580,2013-02-19
한솔아이원스,114810,2013-02-07
우리이앤엘,153490,2013-02-05
아이센스,099190,2013-01-30
에코글로우,159910,2012-12-27
SBI핀테크솔루션즈,950110,2012-12-17
우리로,046970,2012-11-27
디젠스,113810,2012-11-22
지엠비코리아,013870,2012-11-20
와이엠씨,155650,2012-11-15
LG헬로비전,037560,2012-11-09
아바텍,149950,2012-11-06
동일고무벨트,163560,2012-10-19
한국콜마,161890,2012-10-19
한국타이어앤테크놀로지,161390,2012-10-04
코이즈,121850,2012-09-27
애경케미칼,161000,2012-09-17
퓨처코어,151910,2012-08-02
네이블,153460,2012-07-19
노블엠앤비,106520,2012-07-13
피엔티,137400,2012-07-06
사조씨푸드,014710,2012-06-29
비아트론,141000,2012-05-04
빛샘전자,072950,2012-03-21
한국ANKOR유전,152550,2012-03-08
휴비스,079980,2012-02-23
사람인,143240,2012-02-21
제룡산업,147830,2012-02-13
남화토건,091590,2012-01-31
케이탑리츠,145270,2012-01-31
메지온,140410,2012-01-20
원익머트리얼즈,104830,2011-12-28
제이에스링크,127120,2011-12-26
GS리테일,007070,2011-12-23
나이스디앤비,130580,2011-12-22
시큐브,131090,2011-12-21
서암기계공업,100660,2011-12-19
인터지스,129260,2011-12-16
씨유메디칼,115480,2011-12-15
삼양사,145990,2011-12-05
키네마스터,139670,2011-12-02
비덴트,121800,2011-12-01
신진에스엠,138070,2011-11-28
이엠넷,123570,2011-11-25
와이지엔터테인먼트,122870,2011-11-23
테크윙,089030,2011-11-10
씨큐브,101240,2011-11-08
에스엠코어,007820,2011-11-08
씨엔플러스,115530,2011-11-02
하나투어,039130,2011-11-01
로보스타,090360,2011-10-17
대한과학,131220,2011-10-11
아이디스,143160,2011-09-26
에이블씨엔씨,078520,2011-09-07
제이씨케미칼,137950,2011-08-08
아이씨디,040910,2011-08-05
제닉,123330,2011-08-03
BF랩스,139050,2011-07-29
삼원강재,023000,2011-07-22
상아프론테크,089980,2011-07-21
신세계인터내셔날,031430,2011-07-14
에이리츠,140910,2011-07-14
나이벡,138610,2011-07-13
옵티시스,109080,2011-07-12
대양전기공업,108380,2011-07-08
한국항공우주,047810,2011-06-30
롯데하이마트,071840,2011-06-29
서연탑메탈,019770,2011-06-24
한세엠케이,069640,2011-06-21
코오롱ENP,138490,2011-06-15
넥스트아이,137940,2011-06-14
티엔엔터테인먼트,131100,2011-06-14
